[2022-04-28 02:14:13,950] [143] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:14:14,204] [143] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:14:14,387] [143] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:14:14,678] [143] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:14:15,114] [143] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:14:15,182] [143] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:14:15,320] [143] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:14:15,549] [143] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:14:15,757] [143] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:14:15,974] [143] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:14:16,196] [143] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:14:16,407] [143] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:14:16,626] [143] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:14:16,837] [143] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:14:17,063] [143] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:18:29,982] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:30,228] [21] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:18:30,467] [21] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:18:30,655] [21] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:18:30,945] [21] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:18:31,467] [21] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:18:31,520] [21] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:18:31,660] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:31,868] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:32,089] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:32,368] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:32,597] [21] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:18:32,815] [21] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:18:33,023] [21] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:18:33,235] [21] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:18:33,456] [21] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:25:18,414] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:18,626] [23] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:25:18,862] [23] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:25:19,023] [23] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:25:19,317] [23] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:25:19,811] [23] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:25:19,865] [23] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:25:20,001] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:20,211] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:20,460] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:20,676] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:20,891] [23] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:25:21,103] [23] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:25:21,317] [23] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:25:21,518] [23] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:25:21,781] [23] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:27:16,044] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:16,260] [25] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:27:16,516] [25] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:27:16,713] [25] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:27:17,028] [25] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
[2022-04-28 02:27:17,509] [25] 127.0.0.1 requested http://localhost/dashboard INFO in __init__: Request
[2022-04-28 02:27:17,561] [25] 127.0.0.1 requested http://localhost/songs INFO in __init__: Request
[2022-04-28 02:27:17,721] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:17,961] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:18,193] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:18,447] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:18,695] [25] 127.0.0.1 requested http://localhost/ INFO in __init__: Request
[2022-04-28 02:27:18,970] [25] 127.0.0.1 requested http://localhost/about INFO in __init__: Request
[2022-04-28 02:27:19,216] [25] 127.0.0.1 requested http://localhost/welcome INFO in __init__: Request
[2022-04-28 02:27:19,444] [25] 127.0.0.1 requested http://localhost/page5 INFO in __init__: Request
[2022-04-28 02:27:19,655] [25] 127.0.0.1 requested http://localhost/register INFO in __init__: Request
